doses_admin_daily,7_day_avg,date
0.0,0.0,2020-12-10
0.0,0.0,2020-12-11
0.0,0.0,2020-12-12
0.0,454.7142857142857,2020-12-13
0.0,1394.142857142857,2020-12-14
0.0,2649.714285714286,2020-12-15
3183.0,3216.4285714285716,2020-12-16
6576.0,3419.285714285714,2020-12-17
8789.0,4388.0,2020-12-18
3967.0,5074.857142857143,2020-12-19
1420.0,7517.142857142857,2020-12-20
6781.0,7100.428571428572,2020-12-21
4808.0,5886.428571428572,2020-12-22
20279.0,5678.857142857143,2020-12-23
3659.0,5661.714285714285,2020-12-24
291.0,5796.714285714285,2020-12-25
2514.0,6146.428571428572,2020-12-26
1300.0,3249.4285714285716,2020-12-27
7726.0,2726.714285714286,2020-12-28
7256.0,2685.1428571428573,2020-12-29
0.0,2326.0,2020-12-30
0.0,2140.285714285714,2020-12-31
0.0,1036.5714285714287,2021-01-01
0.0,0.0,2021-01-02
0.0,0.0,2021-01-03
0.0,8923.57142857143,2021-01-04
0.0,8923.57142857143,2021-01-05
0.0,8923.57142857143,2021-01-06
62465.0,8923.57142857143,2021-01-07
0.0,8923.57142857143,2021-01-08
0.0,8923.57142857143,2021-01-09
0.0,8923.57142857143,2021-01-10
0.0,14009.42857142857,2021-01-11
0.0,14009.42857142857,2021-01-12
0.0,14009.42857142857,2021-01-13
98066.0,14009.42857142857,2021-01-14
0.0,14009.42857142857,2021-01-15
0.0,14009.42857142857,2021-01-16
0.0,14009.42857142857,2021-01-17
0.0,0.0,2021-01-18
0.0,17249.285714285714,2021-01-19
0.0,17249.285714285714,2021-01-20
0.0,17249.285714285714,2021-01-21
120745.0,17249.285714285714,2021-01-22
0.0,17249.285714285714,2021-01-23
0.0,17249.285714285714,2021-01-24
0.0,17249.285714285714,2021-01-25
0.0,19454.85714285714,2021-01-26
0.0,19454.85714285714,2021-01-27
0.0,19454.85714285714,2021-01-28
136184.0,19454.85714285714,2021-01-29
0.0,19454.85714285714,2021-01-30
0.0,37936.857142857145,2021-01-31
0.0,37936.857142857145,2021-02-01
0.0,26481.285714285714,2021-02-02
129374.0,26995.85714285714,2021-02-03
0.0,33002.42857142857,2021-02-04
55995.0,40595.0,2021-02-05
3602.0,44324.71428571428,2021-02-06
42046.0,40705.0,2021-02-07
53148.0,46434.0,2021-02-08
26108.0,43757.42857142857,2021-02-09
104036.0,49849.142857142855,2021-02-10
40103.0,50809.28571428572,2021-02-11
37259.0,48300.857142857145,2021-02-12
46244.0,48150.57142857143,2021-02-13
48767.0,36586.28571428572,2021-02-14
35589.0,37014.142857142855,2021-02-15
25056.0,39926.857142857145,2021-02-16
23086.0,41376.857142857145,2021-02-17
43098.0,41807.71428571428,2021-02-18
57648.0,44019.71428571428,2021-02-19
56394.0,50949.57142857143,2021-02-20
51783.0,47651.57142857143,2021-02-21
51073.0,46274.28571428572,2021-02-22
73565.0,44199.28571428572,2021-02-23
0.0,43114.71428571428,2021-02-24
33457.0,44128.857142857145,2021-02-25
43123.0,44280.71428571428,2021-02-26
48802.0,43350.142857142855,2021-02-27
58882.0,48248.42857142857,2021-02-28
52136.0,50086.42857142857,2021-03-01
67051.0,52051.57142857143,2021-03-02
34288.0,54334.42857142857,2021-03-03
46323.0,56815.857142857145,2021-03-04
56879.0,66087.0,2021-03-05
64782.0,56508.28571428572,2021-03-06
76252.0,55952.42857142857,2021-03-07
