doses_admin_daily,7_day_avg,date
0.0,0.0,2020-12-10
0.0,0.0,2020-12-11
0.0,0.0,2020-12-12
0.0,0.0,2020-12-13
0.0,0.0,2020-12-14
0.0,0.0,2020-12-15
0.0,517.1428571428571,2020-12-16
0.0,517.1428571428571,2020-12-17
0.0,517.1428571428571,2020-12-18
3620.0,517.1428571428571,2020-12-19
0.0,2012.0,2020-12-20
0.0,3522.4285714285716,2020-12-21
0.0,3827.5714285714284,2020-12-22
10464.0,3310.8571428571427,2020-12-23
10573.0,3460.714285714286,2020-12-24
2136.0,3612.4285714285716,2020-12-25
3.0,4146.285714285715,2020-12-26
1049.0,4138.714285714285,2020-12-27
1062.0,2628.285714285714,2020-12-28
3737.0,2916.285714285714,2020-12-29
10411.0,3025.8571428571427,2020-12-30
0.0,3138.714285714286,2020-12-31
4152.0,3069.1428571428573,2021-01-01
770.0,3125.714285714286,2021-01-02
1839.0,2292.5714285714284,2021-01-03
575.0,3129.5714285714284,2021-01-04
4133.0,4017.0,2021-01-05
4579.0,5474.428571428572,2021-01-06
5859.0,5571.285714285715,2021-01-07
10364.0,7616.857142857143,2021-01-08
10972.0,7270.142857142857,2021-01-09
2517.0,8028.142857142857,2021-01-10
14894.0,8523.57142857143,2021-01-11
1706.0,9968.714285714286,2021-01-12
9885.0,8967.0,2021-01-13
9327.0,8939.142857142857,2021-01-14
20480.0,6879.0,2021-01-15
3960.0,7018.285714285715,2021-01-16
2322.0,6152.714285714285,2021-01-17
473.0,6104.714285714285,2021-01-18
2681.0,5074.714285714285,2021-01-19
3826.0,4509.0,2021-01-20
8991.0,6285.857142857143,2021-01-21
13270.0,7560.571428571428,2021-01-22
0.0,8071.714285714285,2021-01-23
14760.0,8161.428571428572,2021-01-24
9396.0,8266.857142857143,2021-01-25
6259.0,8568.142857142857,2021-01-26
4454.0,10928.285714285714,2021-01-27
9729.0,9304.142857142857,2021-01-28
15379.0,8037.714285714285,2021-01-29
16521.0,7699.714285714285,2021-01-30
3391.0,7560.142857142857,2021-01-31
531.0,7416.142857142857,2021-02-01
3893.0,7374.571428571428,2021-02-02
3477.0,8332.0,2021-02-03
8721.0,8870.0,2021-02-04
15088.0,8985.857142857143,2021-02-05
23223.0,9063.42857142857,2021-02-06
7157.0,9293.857142857143,2021-02-07
1342.0,9221.142857142857,2021-02-08
4436.0,8572.0,2021-02-09
5090.0,8784.57142857143,2021-02-10
8212.0,9258.57142857143,2021-02-11
10544.0,9066.857142857143,2021-02-12
24711.0,8709.857142857143,2021-02-13
10475.0,8720.142857142857,2021-02-14
0.0,7873.714285714285,2021-02-15
1937.0,7396.571428571428,2021-02-16
5162.0,8834.285714285714,2021-02-17
2287.0,9834.0,2021-02-18
7204.0,10609.142857142857,2021-02-19
34775.0,11351.0,2021-02-20
17473.0,10613.57142857143,2021-02-21
5426.0,10834.57142857143,2021-02-22
7130.0,11385.142857142857,2021-02-23
0.0,8757.0,2021-02-24
3834.0,9710.285714285714,2021-02-25
11058.0,9826.0,2021-02-26
16378.0,9058.57142857143,2021-02-27
24146.0,9413.0,2021-02-28
6236.0,9568.0,2021-03-01
1758.0,9702.0,2021-03-02
2481.0,11616.714285714286,2021-03-03
4919.0,9722.714285714286,2021-03-04
11996.0,10016.0,2021-03-05
29781.0,9764.857142857143,2021-03-06
10888.0,9973.0,2021-03-07
8289.0,9951.42857142857,2021-03-08
