doses_admin_daily,7_day_avg,date
0.0,0.0,2020-12-10
0.0,0.0,2020-12-11
0.0,0.0,2020-12-12
0.0,0.0,2020-12-13
0.0,0.0,2020-12-14
0.0,62.0,2020-12-15
0.0,309.85714285714283,2020-12-16
0.0,464.0,2020-12-17
434.0,625.1428571428571,2020-12-18
1735.0,1190.0,2020-12-19
1079.0,1747.4285714285713,2020-12-20
1128.0,2384.4285714285716,2020-12-21
3954.0,2531.5714285714284,2020-12-22
3902.0,2285.285714285714,2020-12-23
4459.0,2395.5714285714284,2020-12-24
1464.0,2426.5714285714284,2020-12-25
11.0,2756.0,2020-12-26
1851.0,3175.4285714285716,2020-12-27
1345.0,3577.1428571428573,2020-12-28
6260.0,4012.8571428571427,2020-12-29
6838.0,4084.0,2020-12-30
7271.0,4064.8571428571427,2020-12-31
4514.0,4237.0,2021-01-01
509.0,3909.0,2021-01-02
1717.0,3850.0,2021-01-03
2550.0,3562.5714285714284,2021-01-04
3964.0,4059.285714285714,2021-01-05
6425.0,5907.714285714285,2021-01-06
5259.0,6897.857142857143,2021-01-07
7991.0,6533.571428571428,2021-01-08
13448.0,8545.857142857143,2021-01-09
8648.0,9731.0,2021-01-10
0.0,8979.714285714286,2021-01-11
18050.0,10174.714285714286,2021-01-12
14721.0,14403.857142857143,2021-01-13
0.0,15423.285714285714,2021-01-14
16356.0,17130.571428571428,2021-01-15
43052.0,14552.0,2021-01-16
15784.0,13612.0,2021-01-17
11951.0,15568.285714285714,2021-01-18
0.0,15367.57142857143,2021-01-19
8141.0,11609.0,2021-01-20
13694.0,11561.857142857143,2021-01-21
14951.0,11962.285714285714,2021-01-22
16742.0,13018.0,2021-01-23
15454.0,14343.857142857143,2021-01-24
14754.0,14514.285714285714,2021-01-25
7390.0,15094.142857142857,2021-01-26
17422.0,15988.0,2021-01-27
14887.0,17422.714285714286,2021-01-28
19010.0,17563.428571428572,2021-01-29
22999.0,18603.85714285714,2021-01-30
25497.0,18396.0,2021-01-31
15739.0,18761.0,2021-02-01
14673.0,18212.428571428572,2021-02-02
15967.0,18172.85714285714,2021-02-03
17442.0,17797.714285714286,2021-02-04
15170.0,18648.428571428572,2021-02-05
22722.0,19160.14285714286,2021-02-06
22871.0,19213.428571428572,2021-02-07
21694.0,18932.285714285714,2021-02-08
18255.0,19578.714285714286,2021-02-09
16340.0,20003.14285714286,2021-02-10
15474.0,19648.14285714286,2021-02-11
19695.0,17578.428571428572,2021-02-12
25693.0,15926.714285714286,2021-02-13
20386.0,14673.42857142857,2021-02-14
7206.0,14718.42857142857,2021-02-15
6693.0,15130.57142857143,2021-02-16
7567.0,16862.428571428572,2021-02-17
15789.0,17827.571428571428,2021-02-18
22580.0,20646.85714285714,2021-02-19
37816.0,25867.85714285714,2021-02-20
27142.0,24786.85714285714,2021-02-21
26941.0,22644.14285714286,2021-02-22
43240.0,22815.714285714286,2021-02-23
0.0,22889.0,2021-02-24
790.0,23699.285714285714,2021-02-25
23781.0,24669.0,2021-02-26
38329.0,22727.85714285714,2021-02-27
32814.0,24768.85714285714,2021-02-28
33729.0,26330.0,2021-03-01
29652.0,26215.714285714286,2021-03-02
14287.0,24302.0,2021-03-03
11718.0,25312.85714285714,2021-03-04
22981.0,29325.571428571428,2021-03-05
24933.0,28275.14285714286,2021-03-06
39890.0,26234.14285714286,2021-03-07
61818.0,26967.85714285714,2021-03-08
