doses_admin_daily,7_day_avg,date
23819.0,10233.42857142857,2021-05-03
0.0,11719.857142857143,2021-05-04
8824.0,12265.285714285714,2021-05-05
12313.0,13879.714285714286,2021-05-06
14914.0,13310.42857142857,2021-05-07
13095.0,14919.142857142857,2021-05-08
24193.0,13671.0,2021-05-09
19834.0,13190.0,2021-05-10
11261.0,12193.142857142857,2021-05-11
87.0,10355.142857142857,2021-05-12
8946.0,6917.857142857143,2021-05-13
7936.0,7656.285714285715,2021-05-14
229.0,6717.142857142857,2021-05-15
132.0,6720.285714285715,2021-05-16
25003.0,7266.428571428572,2021-05-17
4687.0,7190.428571428572,2021-05-18
109.0,9312.857142857143,2021-05-19
12769.0,10360.714285714286,2021-05-20
7404.0,6789.714285714285,2021-05-21
15086.0,7233.714285714285,2021-05-22
7467.0,7225.428571428572,2021-05-23
6.0,7278.0,2021-05-24
7795.0,6247.571428571428,2021-05-25
51.0,6317.428571428572,2021-05-26
13137.0,6125.833333333333,2021-05-27
191.0,7349.8,2021-05-28
15575.0,7238.5,2021-05-29
