doses_admin_daily,7_day_avg,date
263.0,11940.142857142857,2021-05-02
543.0,11678.142857142857,2021-05-03
0.0,11445.42857142857,2021-05-04
32908.0,10865.285714285714,2021-05-05
13061.0,10865.142857142857,2021-05-06
16128.0,10934.142857142857,2021-05-07
13154.0,14963.0,2021-05-08
262.0,11318.142857142857,2021-05-09
1026.0,11056.0,2021-05-10
28202.0,10611.857142857143,2021-05-11
7394.0,10410.714285714286,2021-05-12
11226.0,10420.42857142857,2021-05-13
13019.0,10385.142857142857,2021-05-14
11746.0,9607.0,2021-05-15
330.0,9585.142857142857,2021-05-16
779.0,9840.42857142857,2021-05-17
22755.0,10189.42857142857,2021-05-18
7241.0,10466.285714285714,2021-05-19
13013.0,10625.57142857143,2021-05-20
15462.0,10643.285714285714,2021-05-21
13684.0,10529.57142857143,2021-05-22
1445.0,10507.285714285714,2021-05-23
903.0,9915.0,2021-05-24
21959.0,8984.42857142857,2021-05-25
7085.0,8199.57142857143,2021-05-26
8867.0,9325.333333333334,2021-05-27
8948.0,11009.8,2021-05-28
8190.0,8272.5,2021-05-29
