doses_admin_daily,7_day_avg,date
46061.0,44501.857142857145,2021-05-08
32877.0,37462.42857142857,2021-05-09
11462.0,34833.42857142857,2021-05-10
31940.0,34846.857142857145,2021-05-11
38397.0,33589.57142857143,2021-05-12
39509.0,33212.28571428572,2021-05-13
43682.0,32974.142857142855,2021-05-14
37260.0,33669.857142857145,2021-05-15
30236.0,32727.714285714286,2021-05-16
9795.0,33151.28571428572,2021-05-17
36810.0,32195.85714285714,2021-05-18
31802.0,31379.0,2021-05-19
42474.0,29350.285714285714,2021-05-20
36994.0,29121.0,2021-05-21
31542.0,27654.428571428572,2021-05-22
16035.0,26825.0,2021-05-23
8190.0,24664.285714285714,2021-05-24
26544.0,22849.428571428572,2021-05-25
25996.0,21846.714285714286,2021-05-26
27349.0,22815.333333333332,2021-05-27
24290.0,25740.4,2021-05-28
24523.0,25539.5,2021-05-29
